      Lon     Lat Rayleigh Uncert m/s
                     8.00    8.00   10.00   10.00   12.00   12.00   14.00   14.00   16.00   16.00   18.00   18.00   20.00   20.00   22.00   22.00   24.00   24.00   28.00   28.00   32.00   32.00   36.00   36.00   40.00   40.00   50.00   50.00   60.00   60.00   70.00   70.00   80.00   80.00  100.00  100.00  125.00  125.00  150.00  150.00
     2.00   -7.00 3135.20   10.00 3192.70   10.00 3246.90   10.00 3302.50   10.00 3365.60   10.00 3427.30   10.00 3489.60   10.00 3552.80   10.00 3614.70   10.00 3748.10   19.40 3841.00   15.70 3891.00   13.70 3945.70   13.20 3992.60   16.00 4013.50   20.00 4051.40   22.90 4072.00   26.10 4102.90   33.50 4166.20   46.20 4226.70   61.00
     3.00   -7.00 3155.30   10.00 3219.70   10.00 3282.70   10.00 3332.60   10.00 3387.70   10.00 3443.50   10.00 3505.20   10.00 3569.20   10.00 3635.00   10.00 3744.90   18.10 3829.80   13.70 3905.10   13.50 3962.60   13.60 4030.40   16.20 4040.60   18.80 4064.30   22.20 4083.20   24.50 4106.40   36.00 4186.50   47.70 4297.10   62.40
   -10.00   -6.00 3086.50   10.00 3130.60   10.00 3168.60   10.00 3220.10   10.00 3277.60   10.00 3338.50   10.00 3402.00   10.00 3463.00   10.00 3519.30   10.00 3606.40   11.70 3651.40   11.80 3683.50   12.60 3699.70   13.20 3737.00   13.80 3770.20   14.60 3793.10   22.50 3814.00   25.50 3929.50   38.30 4059.70   50.90 4218.80   66.10
    -9.00   -6.00 2970.60   10.00 3023.40   10.00 3073.70   10.00 3123.70   10.00 3175.00   10.00 3228.00   10.00 3279.40   10.00 3332.90   10.00 3383.40   10.00 3466.80   18.00 3533.20   12.00 3581.20   11.90 3608.50   10.40 3686.70   12.20 3719.60   11.60 3773.20   19.50 3833.80   22.70 3977.00   35.00 4087.20   48.60 4238.20   64.30
    -8.00   -6.00 3068.10   10.00 3136.60   10.00 3177.50   10.00 3212.40   10.00 3247.70   10.00 3291.00   10.00 3334.10   10.00 3382.20   10.00 3427.00   10.00 3503.00   12.90 3573.30   10.00 3632.40   10.10 3669.40   10.20 3742.10   12.80 3785.10   15.60 3846.20   19.40 3883.40   20.50 4003.30   33.10 4096.50   46.70 4193.00   62.60
    -7.00   -6.00 3234.10   10.00 3276.00   10.00 3308.60   10.00 3348.20   10.00 3391.10   10.00 3433.20   10.00 3477.00   10.00 3518.60   10.00 3563.80   10.00 3651.70   11.70 3723.10   10.30 3779.00   11.40 3839.30   11.00 3899.60   12.00 3913.50   11.80 3953.90   17.10 3980.40   19.30 4052.10   32.40 4129.90   46.20 4202.50   61.80
    -6.00   -6.00 3176.20   10.00 3228.10   10.00 3267.50   10.00 3308.90   10.00 3350.30   10.00 3403.10   10.00 3456.90   10.00 3509.90   10.00 3551.30   10.00 3624.80   13.70 3706.50   11.50 3774.40   11.80 3844.00   12.00 3920.30   12.60 3960.10   13.80 3961.30   18.60 3998.50   22.00 4063.20   31.60 4140.00   45.80 4239.50   62.00
    -5.00   -6.00 3200.70   10.00 3249.20   10.00 3281.20   10.00 3313.50   10.00 3355.80   10.00 3396.20   10.00 3439.20   10.00 3482.80   10.00 3528.90   10.00 3616.20   11.80 3695.00   12.70 3760.70   12.60 3828.80   11.80 3896.70   13.20 3930.60   14.40 3950.80   19.80 3966.80   20.90 3981.20   31.70 4096.40   45.50 4226.60   61.50
    -4.00   -6.00 3161.40   10.00 3181.80   10.00 3200.40   10.00 3220.60   10.00 3236.70   10.00 3260.50   10.00 3291.30   10.00 3334.00   10.00 3376.40   10.00 3467.90   13.80 3535.30   10.40 3612.40   10.00 3657.80   10.00 3766.10   10.60 3808.40   11.00 3867.30   17.20 3908.70   19.30 4005.20   31.20 4131.30   44.60 4226.60   61.10
    -3.00   -6.00 3097.10   10.00 3125.00   10.00 3136.80   10.00 3153.10   10.00 3173.90   10.00 3204.80   10.00 3246.00   10.00 3294.20   10.00 3343.30   10.00 3444.00   12.80 3536.70   10.00 3611.90   10.00 3657.60   10.00 3751.90   10.00 3817.40   10.00 3891.00   16.30 3926.70   18.60 3998.70   30.80 4121.10   44.40 4229.50   60.30
    -2.00   -6.00 3170.70   10.00 3188.20   10.00 3200.70   10.00 3210.20   10.00 3233.60   10.00 3267.10   10.00 3300.90   10.00 3342.20   10.00 3387.10   10.00 3483.90   13.70 3570.90   12.20 3640.10   10.20 3688.70   10.80 3783.10   11.00 3850.40   14.00 3909.30   17.70 3958.30   20.20 4067.80   30.20 4157.20   43.50 4266.80   60.00
    -1.00   -6.00 3084.20   10.00 3144.90   10.00 3192.90   10.00 3238.70   10.00 3279.20   10.00 3317.20   10.00 3365.10   10.00 3414.60   10.00 3461.70   10.00 3555.80   14.20 3634.80   10.10 3705.80   10.00 3764.40   10.40 3866.50   10.80 3925.00   13.00 3966.70   18.00 4016.20   20.50 4086.50   30.50 4142.00   43.80 4270.90   60.20
     0.00   -6.00 3133.50   10.00 3197.40   10.00 3245.90   10.00 3298.60   10.00 3350.40   10.00 3406.60   10.00 3462.90   10.00 3516.20   10.00 3564.10   10.00 3666.20   17.90 3751.70   13.70 3799.70   12.00 3852.10   10.40 3911.20   12.60 3942.80   14.00 3977.10   20.50 4006.90   24.30 4084.60   31.20 4131.90   44.30 4260.80   59.70
