      Lon      Lat      RHP     Tbuf  Tinterm  Tbottom Csubmoho  Al_0  Fe_0  Mg_0  Ca_0      LAB  Al_1  Fe_1  Mg_1  Ca_1
      deg      deg    nW/m3     degC     degC     degC        1    wt%    wt%    wt%    wt%    wt%       km    wt%    wt%    wt%    wt%    wt%
128 -18	0.20	1304.23	1436.8	1485	0.9836	2.71	8.25	41.9	2.25	201.09	4.04	8.28	37.49	3.36
128.5 -18	0.20	1303.56	1436.22	1483.43	0.9755	2.72	8.22	41.91	2.27	200.63	4.06	8.31	37.43	3.37
129 -18	0.20	1303.29	1435.02	1483.4	0.9739	2.71	8.16	41.93	2.25	200.57	4.07	8.29	37.45	3.35
129.5 -18	0.20	1304.01	1434.13	1482.74	0.9784	2.67	8.08	41.97	2.25	200.17	4.03	8.25	37.42	3.34
130 -18	0.20	1303.3	1434.27	1482.92	0.9653	2.67	8.03	41.98	2.26	199.8	4.03	8.25	37.44	3.35
130.5 -18	0.20	1303.43	1433.79	1482.98	0.9703	2.64	7.96	42.02	2.23	199.68	4.05	8.28	37.41	3.35
131 -18	0.20	1302.36	1434.1	1481.98	0.9663	2.67	7.93	42.03	2.25	200.27	4.09	8.34	37.36	3.34
131.5 -18	0.20	1302.4	1431.82	1481	0.9572	2.72	7.93	42.05	2.26	202	4.18	8.39	37.3	3.35
132 -18	0.20	1302.59	1432.16	1480.85	0.979	2.7	7.9	42.06	2.3	203.46	4.16	8.38	37.32	3.35
132.5 -18	0.20	1301.78	1430.6	1479.31	0.9772	2.73	7.98	42.1	2.31	204.78	4.16	8.34	37.32	3.34
133 -18	0.20	1301.28	1429.33	1479.58	0.9716	2.78	8.01	42.11	2.33	206.19	4.17	8.36	37.26	3.32
133.5 -18	0.20	1301.31	1428.76	1477.91	0.9768	2.75	8.09	42.16	2.36	207.68	4.16	8.33	37.3	3.34
134 -18	0.20	1300.27	1426.2	1476.66	0.9779	2.73	8.17	42.19	2.39	208.08	4.13	8.27	37.27	3.3
134.5 -18	0.20	1300.07	1426.81	1474.98	0.9759	2.74	8.28	42.17	2.38	208.61	4.13	8.24	37.32	3.25
135 -18	0.20	1301.45	1425.08	1476.1	0.9644	2.81	8.46	42.17	2.43	208.49	4.2	8.28	37.31	3.26
135.5 -18	0.20	1299.92	1426.35	1477.87	0.9809	2.86	8.58	42.2	2.44	207.33	4.21	8.37	37.31	3.33
136 -18	0.20	1301.15	1423.89	1477.51	0.9823	2.79	8.53	42.11	2.4	205.33	4.15	8.28	37.39	3.32
136.5 -18	0.20	1299.53	1423.8	1476.8	0.9581	2.74	8.44	42.14	2.4	202.46	4.05	8.18	37.39	3.29
137 -18	0.20	1300.11	1423.59	1475.65	0.9754	2.78	8.49	42.1	2.42	200.37	4.11	8.2	37.38	3.28
137.5 -18	0.20	1298.61	1421.65	1475.89	0.959	2.79	8.54	42.02	2.44	197.32	4.09	8.22	37.43	3.35
138 -18	0.20	1297.24	1421	1476.18	0.9641	2.83	8.56	42.02	2.5	193.53	4.15	8.23	37.43	3.37
138.5 -18	0.20	1297.36	1422.66	1476.96	0.9657	2.8	8.66	42.01	2.51	190.84	4.16	8.26	37.51	3.37
139 -18	0.20	1297.1	1422.85	1477.58	0.9671	2.79	8.68	42.13	2.5	187.5	4.16	8.3	37.59	3.37
139.5 -18	0.20	1297.76	1424.27	1477.28	0.9649	2.72	8.49	42.13	2.42	183.84	3.92	8.07	37.62	3.27
140 -18	0.20	1298.67	1424.32	1477.81	0.9706	2.75	8.52	42.15	2.45	180.02	3.96	8.07	37.71	3.28
140.5 -18	0.20	1298.63	1424.33	1479.21	0.9707	2.73	8.59	42.09	2.48	176.18	4.04	8.17	37.68	3.33
141 -18	0.20	1299.96	1424.77	1479.53	0.9742	2.72	8.62	42.04	2.45	171.64	4.08	8.25	37.71	3.33
